id,full_text,entities,regest,sender_name,sender_id,receiver_name,receiver_id,sender_date
kasten_blau_44_10_0158.xml,nein,nein,nein,Johann Wilhelm von Pfalz-Neuburg,#emt_person_id__18,Eleonora Magdalena von Pfalz-Neuburg,#emt_person_id__9,1709-10-12
kasten_blau_44_10_0161.xml,nein,nein,nein,Johann Wilhelm von Pfalz-Neuburg,#emt_person_id__18,Eleonora Magdalena von Pfalz-Neuburg,#emt_person_id__9,1709-11-06
kasten_blau_44_10_0168.xml,nein,nein,nein,Johann Wilhelm von Pfalz-Neuburg,#emt_person_id__18,Eleonora Magdalena von Pfalz-Neuburg,#emt_person_id__9,1709-11-16
kasten_blau_44_10_0172.xml,ja,nein,nein,Eleonora Magdalena von Pfalz-Neuburg,#emt_person_id__9,Johann Wilhelm von Pfalz-Neuburg,#emt_person_id__18,1709-11-30
kasten_blau_44_10_0178.xml,nein,nein,nein,Johann Wilhelm von Pfalz-Neuburg,#emt_person_id__18,Eleonora Magdalena von Pfalz-Neuburg,#emt_person_id__9,1709-12-07
kasten_blau_44_10_0181.xml,nein,nein,nein,Johann Wilhelm von Pfalz-Neuburg,#emt_person_id__18,Eleonora Magdalena von Pfalz-Neuburg,#emt_person_id__9,1710-02-08
kasten_blau_44_10_0184.xml,ja,nein,nein,Eleonora Magdalena von Pfalz-Neuburg,#emt_person_id__9,Johann Wilhelm von Pfalz-Neuburg,#emt_person_id__18,1710-01-15
kasten_blau_44_10_0191.xml,ja,nein,nein,Eleonora Magdalena von Pfalz-Neuburg,#emt_person_id__9,Johann Wilhelm von Pfalz-Neuburg,#emt_person_id__18,1710-02-01
kasten_blau_44_10_0194.xml,ja,nein,nein,Eleonora Magdalena von Pfalz-Neuburg,#emt_person_id__9,Johann Wilhelm von Pfalz-Neuburg,#emt_person_id__18,1710-02-01
kasten_blau_44_10_0197.xml,nein,nein,nein,Johann Wilhelm von Pfalz-Neuburg,#emt_person_id__18,Eleonora Magdalena von Pfalz-Neuburg,#emt_person_id__9,1710-02-18
kasten_blau_44_10_0199.xml,nein,nein,nein,Johann Wilhelm von Pfalz-Neuburg,#emt_person_id__18,Eleonora Magdalena von Pfalz-Neuburg,#emt_person_id__9,1710-04-12
